player,passes,successful_passes,pass_accuracy,shots,goals,dribbles,pressures,interceptions,ball_recoveries,duels,blocks,fouls_won,fouls_committed,cluster,role
Rachid Aït-Atmane,28.38888888888889,21.333333333333332,73.74611111111112,0.3333333333333333,0.0,0.7777777777777778,13.666666666666666,1.4444444444444444,5.888888888888889,3.388888888888889,1.2777777777777777,1.0555555555555556,1.6111111111111112,1,Midfielder
Rafael Alcântara do Nascimento,29.833333333333332,24.833333333333332,85.11833333333333,0.5,0.1666666666666666,1.1666666666666667,8.0,0.5,2.1666666666666665,1.5,1.1666666666666667,1.0,0.5,0,Defender
Rafael van der Vaart,15.571428571428571,10.571428571428571,71.78428571428572,0.8571428571428571,0.0,0.2857142857142857,6.571428571428571,0.4285714285714285,1.4285714285714286,1.5714285714285714,0.7142857142857143,1.2857142857142858,0.5714285714285714,0,Defender
Raphaël Varane,48.38461538461539,42.76923076923077,87.91038461538461,0.4615384615384615,0.0,0.3461538461538461,6.230769230769231,1.8076923076923077,2.8076923076923075,2.4615384615384617,2.0,0.4615384615384615,0.9230769230769232,4,Utility
Raúl Albentosa Redal,37.10344827586207,26.41379310344828,69.76103448275862,0.5862068965517241,0.0689655172413793,0.2068965517241379,7.344827586206897,2.103448275862069,3.793103448275862,3.1724137931034484,1.4137931034482758,0.4482758620689655,1.137931034482759,4,Utility
Raúl García Escudero,31.35483870967742,19.483870967741936,61.9341935483871,2.5483870967741935,0.2258064516129032,1.4516129032258065,20.612903225806452,1.1935483870967742,3.774193548387097,6.0,1.967741935483871,2.806451612903226,2.5806451612903225,2,Attacker
Raúl Lizoáin Cruz,36.875,21.625,57.4625,0.0,0.0,0.0,0.125,0.0,5.75,0.0,0.0,0.25,0.0,3,Goalkeeper
Rene Krhin,23.347826086956523,17.869565217391305,73.84521739130435,0.3478260869565217,0.0,0.5652173913043478,11.869565217391305,1.6521739130434785,2.9565217391304346,3.0,1.2608695652173914,0.9130434782608696,1.173913043478261,4,Utility
Ricardo Jorge Luz Horta,17.58823529411765,13.588235294117649,77.83941176470589,1.0588235294117647,0.0,1.7058823529411764,10.117647058823527,0.7058823529411765,2.235294117647059,2.7058823529411766,1.1764705882352942,0.4705882352941176,1.1764705882352942,0,Defender
Ricardo Miguel Moreira da Costa,32.357142857142854,26.357142857142858,80.46571428571428,0.6428571428571429,0.0714285714285714,0.0714285714285714,6.928571428571429,0.8571428571428571,2.357142857142857,3.0,1.7142857142857142,0.2142857142857142,1.1428571428571428,4,Utility
Ricky van Wolfswinkel,10.0,6.823529411764706,64.4064705882353,0.8823529411764706,0.0588235294117647,0.2941176470588235,7.0588235294117645,0.4705882352941176,1.1176470588235294,3.588235294117647,0.9411764705882352,0.7647058823529411,1.2352941176470589,0,Defender
